AdminStructureCode,Description
MA,"Administrative Entity with Multiple Direct Service Outlets where Administrative Offices are separate. An administrative entity that serves the public directly with two or more service outlets, including some combination of one central library, branch(es), bookmobile(s), and/or books-by mail only. The administrative offices are separate from the direct service outlets and do not provide direct library services."
MO,"Administrative Entity with Multiple Direct Service Outlets where Administrative Offices are Not Separate. An administrative entity that serves the public directly with two or more service outlets, including some combination of one central library, branch(es), bookmobile(s), and/or books-by mail only."
SO,"Administrative Entity with a Single Direct Service Outlet. An administrative entity that serves the public directly with one central library, books-by-mail only, or one bookmobile. "
,
,
